Country,City,Lat,Lon,Date,Max Temp (F),Humidities %,Cloudinesses,Wind Speed
NZ,Christchurch,-43.5333,172.6333,1614229429,62.64,67,90,8.05
AU,Busselton,-33.65,115.3333,1614229430,79.68,46,4,6.46
RU,Muravlenko,63.7898,74.523,1614229431,-28.03,85,7,6.29
US,Hilo,19.7297,-155.09,1614229219,67.87,78,75,6.91
RU,Provideniya,64.3833,-173.3,1614229434,5.0,72,0,13.42
AZ,Ağdaş,40.65,47.4761,1614229436,24.8,86,90,5.84
US,Jamestown,42.097,-79.2353,1614229374,31.73,80,90,17.27
US,Albany,42.6001,-73.9662,1614229242,41.94,56,90,6.91
MV,Malé,4.1748,73.5089,1614229353,86.0,74,75,12.66
GL,Ilulissat,69.2167,-51.1,1614229441,8.6,52,0,2.59
NZ,Mataura,-46.1927,168.8643,1614229442,57.99,71,79,7.0
CD,Basoko,1.2391,23.616,1614229444,71.17,81,48,3.11
JP,Shimoda,34.6667,138.95,1614229446,45.82,40,40,13.8
PF,Rikitea,-23.1203,-134.9692,1614229447,79.2,79,100,24.38
TZ,Mto wa Mbu,-3.35,35.85,1614229256,70.56,71,95,0.58
US,Broome,42.2506,-75.833,1614229451,40.03,60,75,24.16
TC,Cockburn Town,21.4612,-71.1419,1614229452,76.84,76,0,21.21
US,South Lake Tahoe,38.9332,-119.9844,1614229454,26.38,39,1,8.05
TO,Vaini,-21.2,-175.2,1614229455,80.6,74,75,9.22
PH,Maitum,6.0392,124.4986,1614229456,89.6,55,40,8.05
JP,Hasaki,35.7333,140.8333,1614229458,52.63,28,75,9.22
US,Grafton,42.207,-71.6856,1614229459,42.85,61,90,20.71
CL,Punta Arenas,-53.15,-70.9167,1614229460,49.53,81,92,15.5
ZA,Cape Town,-33.9258,18.4232,1614229238,65.46,72,0,13.8
SA,Faya,18.3851,42.4509,1614229463,56.25,88,40,12.66
CA,La Ronge,55.1001,-105.2842,1614229465,8.6,78,93,6.91
CA,Yellowknife,62.456,-114.3525,1614229467,-9.56,84,90,4.61
NA,Lüderitz,-26.6481,15.1594,1614229468,64.13,70,0,17.11
NZ,Kaitangata,-46.2817,169.8464,1614229470,57.99,67,6,11.01
CO,Puerto Colombia,10.9878,-74.9547,1614229471,80.6,78,0,13.8
RU,Srednekolymsk,67.45,153.6833,1614229472,-20.52,86,100,6.55
MY,George Town,5.4112,100.3354,1614229226,86.54,62,20,10.36
KI,Butaritari,3.0707,172.7902,1614229475,81.7,80,47,18.99
RU,Chara,56.9064,118.2631,1614229476,-6.56,79,87,1.83
IN,Satna,24.5833,80.8333,1614229477,89.96,12,0,7.45
US,Lompoc,34.6391,-120.4579,1614229479,51.55,81,1,3.44
CN,Kumul,42.8,93.45,1614229480,54.97,36,10,6.69
IT,Province of Mantua,45.1667,10.7833,1614229481,41.0,70,0,3.44
RU,Saskylakh,71.9167,114.0833,1614229482,-29.22,93,0,6.51
CN,Shangqiu,34.45,115.65,1614229485,43.0,84,100,13.11
BR,Chopinzinho,-25.8558,-52.5233,1614229487,63.43,97,0,3.58
US,Saint Paul Harbor,57.79,-152.4072,1614229489,33.28,88,10,9.51
ZA,Port Alfred,-33.5906,26.891,1614229490,66.0,96,78,7.43
AU,Carnarvon,-24.8667,113.6333,1614229492,87.8,66,0,19.57
CN,Linxia Chengguanzhen,35.6003,103.2064,1614229493,40.12,65,95,3.4
HK,Hong Kong,22.2855,114.1577,1614229255,68.59,80,92,5.01
RU,Petropavlovsk-Kamchatskiy,53.0452,158.6483,1614229372,24.8,50,75,2.24
CU,Guantánamo,20.1444,-75.2092,1614229499,73.4,73,20,6.91
ZA,Bredasdorp,-34.5322,20.0403,1614229500,64.4,77,48,3.44
RU,Tsimmerbude,54.675,20.1347,1614229501,46.4,87,0,11.18
TD,Adré,13.4667,22.2,1614229503,58.59,32,15,20.18
LV,Liepāja,56.5419,21.0367,1614229505,41.0,93,90,9.22
IN,Puri,19.8,85.85,1614229506,89.6,22,60,4.61
MV,Eydhafushi,5.1033,73.0708,1614229508,82.33,70,100,9.04
US,Barrow,71.2906,-156.7887,1614229510,-29.2,68,1,12.66
RU,Belyy,55.8402,32.9419,1614229514,36.21,99,100,9.82
US,Kapaa,22.0752,-159.319,1614229515,73.18,73,75,17.27
RU,Baykit,61.67,96.37,1614229516,-12.82,90,15,4.43
US,Asheboro,35.7079,-79.8136,1614229518,55.0,36,1,8.05
ID,Bengkulu,-3.8004,102.2655,1614229519,86.25,61,95,13.71
NU,Alofi,-19.0595,-169.9187,1614229520,78.8,89,90,6.91
UY,Rocha,-34.4833,-54.3333,1614229522,60.06,89,0,4.32
CN,Nanning,22.8167,108.3167,1614229523,71.6,83,90,4.47
AU,Hobart,-42.8794,147.3294,1614229525,62.89,36,20,19.57
RU,Abalak,58.1286,68.5944,1614229526,-20.34,93,53,7.83
NO,Kjøllefjord,70.9457,27.3465,1614229527,33.8,86,75,23.02
PY,Ygatimi,-24.0833,-55.5,1614229529,72.16,95,21,2.04
CL,Lebu,-37.6167,-73.65,1614229531,57.11,91,3,11.36
CA,Bonavista,48.6499,-53.1147,1614229533,28.42,93,100,8.05
MZ,Inhambane,-23.865,35.3833,1614229534,71.29,94,20,4.56
PE,Pisco,-13.7,-76.2167,1614229535,70.5,73,0,3.44
LR,Robertsport,6.7533,-11.3686,1614229537,79.29,85,85,7.36
ET,Ginir,7.1333,40.7,1614229538,64.67,38,0,2.89
PF,Atuona,-9.8,-139.0333,1614229539,79.57,76,2,9.55
PH,Dingle,10.9995,122.6711,1614229541,86.29,59,50,9.31
EG,Ţahţā,26.7693,31.5021,1614229542,46.4,87,0,5.75
RU,Tarko-Sale,64.9225,77.785,1614229544,-28.05,84,6,4.92
EC,Puerto Ayora,-0.7393,-90.3518,1614229415,79.0,91,83,3.0
PG,Kieta,-6.2167,155.6333,1614229546,78.6,83,99,4.9
RU,Cherskiy,68.75,161.3,1614229548,-23.84,86,100,3.85
TR,Kulu,39.0951,33.0799,1614229549,31.53,90,62,10.02
IT,Laas,46.6166,10.7002,1614229550,35.02,86,0,6.91
CD,Ilebo,-4.3167,20.5833,1614229552,68.79,95,61,2.01
RU,Khatanga,71.9667,102.5,1614229554,-19.88,87,83,8.05
NZ,Bluff,-46.6,168.3333,1614229555,57.99,71,5,7.0
US,Laguna,38.421,-121.4238,1614229557,54.16,24,1,20.71
RU,Nagornyy,52.7959,83.5498,1614229558,-2.2,55,0,15.66
IT,Porto Empedocle,37.2934,13.5264,1614229559,47.1,87,0,5.17
CA,Saint-Prosper,46.2117,-70.4811,1614229561,30.2,100,100,2.3
GL,Qaanaaq,77.484,-69.3632,1614229562,13.19,82,100,7.81
US,Yucca Valley,34.1142,-116.4322,1614229374,54.72,31,0,3.0
US,San Patricio,28.017,-97.5169,1614229565,69.13,94,90,10.36
CN,Beibei,29.8256,106.4339,1614229515,59.52,82,40,8.95
